Geography,Geographic area,Geographic area,Total population
Alabama,"Alabama - Ohatchee CCD, Calhoun County","Ohatchee CCD, Calhoun County",4615
Alabama,"Alabama - Oneonta CCD, Blount County","Oneonta CCD, Blount County",14908
Alabama,"Alabama - Opp CCD, Covington County","Opp CCD, Covington County",9607
Alabama,"Alabama - Orrville CCD, Dallas County","Orrville CCD, Dallas County",2804
Alabama,"Alabama - Ozark CCD, Dale County","Ozark CCD, Dale County",22040
Alabama,"Alabama - Paint Rock CCD, Jackson County","Paint Rock CCD, Jackson County",3518
Alabama,"Alabama - Palmerdale CCD, Jefferson County","Palmerdale CCD, Jefferson County",5686
Alabama,"Alabama - Panola-Geiger CCD, Sumter County","Panola-Geiger CCD, Sumter County",927
Alabama,"Alabama - Parrish CCD, Walker County","Parrish CCD, Walker County",3691
Alabama,"Alabama - Pell City CCD, St. Clair County","Pell City CCD, St. Clair County",23885
Alabama,"Alabama - Peterman CCD, Monroe County","Peterman CCD, Monroe County",1500
Alabama,"Alabama - Petrey-Highland Home CCD, Crenshaw County","Petrey-Highland Home CCD, Crenshaw County",3828
Alabama,"Alabama - Phenix City CCD, Russell County","Phenix City CCD, Russell County",43357
Alabama,"Alabama - Phil Campbell CCD, Franklin County","Phil Campbell CCD, Franklin County",5896
Alabama,"Alabama - Piedmont CCD, Calhoun County","Piedmont CCD, Calhoun County",7495
Alabama,"Alabama - Pike Road CCD, Montgomery County","Pike Road CCD, Montgomery County",19164
Alabama,"Alabama - Pine Apple CCD, Wilcox County","Pine Apple CCD, Wilcox County",981
Alabama,"Alabama - Pine Hill CCD, Wilcox County","Pine Hill CCD, Wilcox County",3789
Alabama,"Alabama - Pine Level CCD, Montgomery County","Pine Level CCD, Montgomery County",1526
Alabama,"Alabama - Piper-Coleanor CCD, Bibb County","Piper-Coleanor CCD, Bibb County",1221
Alabama,"Alabama - Pisgah CCD, Jackson County","Pisgah CCD, Jackson County",4438
Alabama,"Alabama - Prattville CCD, Autauga County","Prattville CCD, Autauga County",42682
Alabama,"Alabama - Princeton CCD, Jackson County","Princeton CCD, Jackson County",2119
Alabama,"Alabama - Quinton-Wegra CCD, Walker County","Quinton-Wegra CCD, Walker County",1484
Alabama,"Alabama - Ragland CCD, St. Clair County","Ragland CCD, St. Clair County",5509
Alabama,"Alabama - Rainsville-Sylvania CCD, DeKalb County","Rainsville-Sylvania CCD, DeKalb County",13391
Alabama,"Alabama - Ramer CCD, Montgomery County","Ramer CCD, Montgomery County",2186
Alabama,"Alabama - Ranburne CCD, Cleburne County","Ranburne CCD, Cleburne County",4667
Alabama,"Alabama - Red Bay CCD, Franklin County","Red Bay CCD, Franklin County",4883
Alabama,"Alabama - Redstone Arsenal CCD, Madison County","Redstone Arsenal CCD, Madison County",1955
Alabama,"Alabama - Reform CCD, Pickens County","Reform CCD, Pickens County",3656
Alabama,"Alabama - Renfroe-Laniers CCD, Talladega County","Renfroe-Laniers CCD, Talladega County",2902
Alabama,"Alabama - Repton CCD, Conecuh County","Repton CCD, Conecuh County",1731
Alabama,"Alabama - Roanoke CCD, Randolph County","Roanoke CCD, Randolph County",9669
Alabama,"Alabama - Robbins Crossroads CCD, Jefferson County","Robbins Crossroads CCD, Jefferson County",5902
Alabama,"Alabama - Robertsdale CCD, Baldwin County","Robertsdale CCD, Baldwin County",24317
Alabama,"Alabama - Rockford CCD, Coosa County","Rockford CCD, Coosa County",3656
Alabama,"Alabama - Rogersville CCD, Lauderdale County","Rogersville CCD, Lauderdale County",8630
Alabama,"Alabama - Rose Hill-Gantt CCD, Covington County","Rose Hill-Gantt CCD, Covington County",4133
Alabama,"Alabama - Russellville CCD, Franklin County","Russellville CCD, Franklin County",19130
